FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.74ba9a12-129e-3ad3-94a4-617fbeb93c0a,-50.515,-17.881,2019-09-19T17:35:00,AQUA_M-T,SANTA HELENA DE GOIÁS,GOIÁS,Brasil,POINT (-17.881 -50.515)
focos_ams_ontem_hoje_ref.74f2e75b-a317-3bee-89fb-64f5f4b5b748,-60.894,-16.875,2019-09-19T17:35:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-16.875 -60.894)
focos_ams_ontem_hoje_ref.74f6a3af-e836-3959-9f9b-68ce4ef7640f,-58.989,-19.489,2019-09-20T18:20:00,AQUA_M-T,Fuerte Olimpo,Alto Paraguay,Paraguay,POINT (-19.489 -58.989)
focos_ams_ontem_hoje_ref.74fe7484-92bf-31e8-843e-15db7ddac237,-42.99,-6.305,2019-09-20T16:45:00,AQUA_M-T,SÃO FRANCISCO DO MARANHÃO,MARANHÃO,Brasil,POINT (-6.305 -42.99)
focos_ams_ontem_hoje_ref.75072bdc-1324-302c-8bb3-c17b9d4e9788,-49.428,-20.268,2019-09-20T16:40:00,AQUA_M-T,PALESTINA,SÃO PAULO,Brasil,POINT (-20.268 -49.428)
focos_ams_ontem_hoje_ref.75181278-7940-3c02-aead-7dec507ba6dc,-42.622,-13.573,2019-09-19T16:00:00,AQUA_M-T,TANQUE NOVO,BAHIA,Brasil,POINT (-13.573 -42.622)
focos_ams_ontem_hoje_ref.751d1b01-fe22-3a14-8016-4455ae0fe3a3,-59.072,-19.259,2019-09-19T17:35:00,AQUA_M-T,Cordillera,Santa Cruz,Bolivia,POINT (-19.259 -59.072)
focos_ams_ontem_hoje_ref.7522147b-ebda-3bbe-aa27-95dabf8102c4,-62.126,-27.744,2019-09-19T17:35:00,AQUA_M-T,Moreno,Santiago del Estero,Argentina,POINT (-27.744 -62.126)
focos_ams_ontem_hoje_ref.7528c950-d305-361c-9f0e-a7dc472cdb62,-62.23,-15.954,2019-09-20T18:20:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-15.954 -62.23)
focos_ams_ontem_hoje_ref.752dcfba-e1c7-3cea-9d78-07985209375f,-66.197,-14.857,2019-09-19T17:40:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-14.857 -66.197)
focos_ams_ontem_hoje_ref.7530f16e-b6fd-379d-ab4d-aaed798443d1,-42.723,-3.264,2019-09-19T16:00:00,AQUA_M-T,SANTANA DO MARANHÃO,MARANHÃO,Brasil,POINT (-3.264 -42.723)
focos_ams_ontem_hoje_ref.753926b9-1b38-3269-a433-d11ee53fd769,-59.089,-10.436,2019-09-19T17:40:00,AQUA_M-T,ARIPUANÃ,MATO GROSSO,Brasil,POINT (-10.436 -59.089)
focos_ams_ontem_hoje_ref.753aba99-d4c3-3d48-a9f3-c185b46dd940,-59.01,-19.296,2019-09-19T17:35:00,AQUA_M-T,Chiquitos,Santa Cruz,Bolivia,POINT (-19.296 -59.01)
focos_ams_ontem_hoje_ref.753f08e0-bfb6-31a7-8dbf-cea701a53143,-56.051,-16.342,2019-09-19T17:35:00,AQUA_M-T,BARÃO DE MELGAÇO,MATO GROSSO,Brasil,POINT (-16.342 -56.051)
focos_ams_ontem_hoje_ref.7543a3f8-d3d3-3cfc-a41b-7d3b99685ffc,-50.129,-10.921,2019-09-20T16:45:00,AQUA_M-T,LAGOA DA CONFUSÃO,TOCANTINS,Brasil,POINT (-10.921 -50.129)
focos_ams_ontem_hoje_ref.755421e3-c092-32ab-b60d-0b269abb6250,-40.844,-14.357,2019-09-20T16:40:00,AQUA_M-T,CAETANOS,BAHIA,Brasil,POINT (-14.357 -40.844)
focos_ams_ontem_hoje_ref.755456c5-d855-32b4-99a6-dd6a21cbfee0,-49.997,-10.338,2019-09-20T16:45:00,AQUA_M-T,PIUM,TOCANTINS,Brasil,POINT (-10.338 -49.997)
focos_ams_ontem_hoje_ref.755758c1-93e6-3c45-bf4b-03a318162047,-45.514,-5.552,2019-09-20T16:45:00,AQUA_M-T,JENIPAPO DOS VIEIRAS,MARANHÃO,Brasil,POINT (-5.552 -45.514)
focos_ams_ontem_hoje_ref.755e2418-7c8d-3e98-b4c8-4e7cc6fb4f97,-55.908,1.741,2019-09-19T17:40:00,AQUA_M-T,ORIXIMINÁ,PARÁ,Brasil,POINT (1.741 -55.908)
focos_ams_ontem_hoje_ref.75634bc9-baf0-39e3-a9eb-939435c35a26,-55.472,-4.748,2019-09-20T16:45:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,POINT (-4.748 -55.472)
focos_ams_ontem_hoje_ref.7569e590-9ce9-3499-b303-61574203b214,-45.497,-9.653,2019-09-20T16:45:00,AQUA_M-T,GILBUÉS,PIAUÍ,Brasil,POINT (-9.653 -45.497)
focos_ams_ontem_hoje_ref.756ca8bc-0978-3044-84fe-2883c2b5c9c6,-43.954,-7.562,2019-09-20T16:45:00,AQUA_M-T,SEBASTIÃO LEAL,PIAUÍ,Brasil,POINT (-7.562 -43.954)
focos_ams_ontem_hoje_ref.758329c9-00e4-3462-8116-0edded34b08c,-58.883,-18.681,2019-09-19T17:35:00,AQUA_M-T,Chiquitos,Santa Cruz,Bolivia,POINT (-18.681 -58.883)
focos_ams_ontem_hoje_ref.758fe5e8-e0f2-33f4-be1f-564a24ffc25f,-68.053,-12.578,2019-09-20T18:20:00,AQUA_M-T,Abel Iturralde,La Paz,Bolivia,POINT (-12.578 -68.053)
focos_ams_ontem_hoje_ref.75908ff5-c09a-3f13-be62-e6d2f9522daf,-44.983,-19.105,2019-09-20T16:40:00,AQUA_M-T,POMPÉU,MINAS GERAIS,Brasil,POINT (-19.105 -44.983)
focos_ams_ontem_hoje_ref.75947aa2-d403-30e2-b280-ae79acb85975,-55.21,-7.08,2019-09-19T17:40:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,POINT (-7.08 -55.21)
focos_ams_ontem_hoje_ref.75a6481b-a93f-3134-b449-8dd461d58c9b,-61.455,-29.702,2019-09-20T18:15:00,AQUA_M-T,Nueve de Julio,Santa Fe,Argentina,POINT (-29.702 -61.455)
focos_ams_ontem_hoje_ref.75ab7096-c731-3e81-87bf-ae2181c0d42f,-46.021,-12.864,2019-09-20T16:45:00,AQUA_M-T,SÃO DESIDÉRIO,BAHIA,Brasil,POINT (-12.864 -46.021)
focos_ams_ontem_hoje_ref.75ac2812-2a85-3677-a76e-5c72d670d091,-56.208,-20.011,2019-09-19T17:35:00,AQUA_M-T,AQUIDAUANA,MATO GROSSO DO SUL,Brasil,POINT (-20.011 -56.208)
